target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
additionalFacilityAccreditation,facility,Additional Facility Accreditation,additional;facility;accreditation,,,string,,,,False,true
credentialingContactlastName,facility,Credentialing Contact Last Name,credentialing;contact;last;name,,,string,,,,False,true
deviceForDeafNumber,facility,Device for deaf number of facility location,device;for;deaf;number,,,string,,,,False,true
facilityAdditionalSpecialty,facility,Additional specialty of the facility,facility;additional;specialty,,,string,,,,False,true
facilityAdditionalTaxonomy,facility,Additional taxonomy of the facility,facility;additional;taxonomy,,,string,,,,False,true
facilityBillingCounty,facility,Billing county for the facility,facility;billing;county,,,string,,,,False,true
facilityCloseTimeFri,facility,Friday closing time for facility,facility;close;time;friday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeMon,facility,Monday closing time for facility,facility;close;time;monday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeSat,facility,Saturday closing time for facility,facility;close;time;saturday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeSun,facility,Sunday closing time for facility,facility;close;time;sunday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeThu,facility,Thursday closing time for facility,facility;close;time;thursday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeTue,facility,Tuesday closing time for facility,facility;close;time;tuesday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityCloseTimeWed,facility,Wednesday closing time for facility,facility;close;time;wednesday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
facilityContactEmail,facility,Email address of facility contact,facility;contact;email,,,string,email,,,False,true
facilityContactFirstName,facility,First name of facility contact,facility;contact;first;name,,,string,,,,False,true
facilityContactLastName,facility,Last name of facility contact,facility;contact;last;name,,,string,,,,False,true
facilityControlledSubstanceExpirationDate,facility,Controlled Substance Expiration Date,controlled;substance;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
facilityControlledSubstanceNumber,facility,Controlled Substance Number,controlled;substance;number,,,string,,,,False,true
facilityControlledSubstanceState,facility,Controlled Substance Issuing State,controlled;substance;state,,,string,,,,False,true
facilityDba,facility,Doing Business As name for facility,facility;dba,,,string,,,,False,true
facilityDea,facility,Drug Enforcement Administration number,dea,,,string,,"^[A-Z][A-Z9]\d{7,8}$",,False,true
facilityDeaExpirationDate,facility,DEA Expiration Date,dea;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
facilityEffectiveDate,facility,Effective date for the facility,facility;effective;date;(yyyy-mm-dd),,,string,date,,,False,true
facilityLegalBusinessName,facility,Legal business name of the facility,facility;legal;business;name,,,string,,,,False,true
facilityLocationAccreditationExpiryDate,facility,Expiry date of the accreditation for facility location,facility;location;accreditation;expiry;date;(yyyy-mm-dd),,,string,date,,,False,true
facilityLocationAccreditationName,facility,Name of the accreditation for facility location,facility;location;accreditation;name,,,string,,,,False,true
facilityLocationAdditionalPracticeLimitation,facility,Additional practice limitation for the facility location,facility;location;additional;practice;limitation,,,string,,,,False,true
facilityLocationAdditionalService,facility,Additional service for the facility location,facility;location;additional;service,,,string,,,,False,true
facilityLocationAddressLine1,facility,Address line 1 of facility location,facility;location;address;line,,,string,,,,False,true
facilityLocationAddressLine2,facility,Address line 2 of facility location,facility;location;address;line,,,string,,,,False,true
facilityLocationAfterHoursPhone,facility,After hours phone number of facility location,facility;location;after;hours;phone,,facilityLocationAfterHoursFax,string,,,,False,true
facilityLocationAppointmentPhone,facility,Appointment phone number of facility location,facility;location;appointment;phone,,facilityLocationAppointmentFax,string,,,,False,true
facilityLocationCity,facility,City of facility location,facility;location;city,,,string,,,,False,true
facilityLocationCounty,facility,County of facility location,facility;location;county,,,string,,,,False,true
facilityLocationEmail,facility,Email of facility location,facility;location;email,,,string,,,,False,true
facilityLocationFax,facility,Fax number of facility location,facility;location;fax,,facilityLocationPhone,string,,,,False,true
facilityLocationGenderAccepted,facility,Gender accepted at the location,gender;accepted,,,string,,,Both|Male|Female,False,true
facilityLocationLatitude,facility,Latitude of facility location,facility;location;latitude,,,string,,,,False,true
facilityLocationLongitude,facility,Longitude of facility location,facility;location;longitude,,,string,,,,False,true
facilityLocationName,facility,Name of the facility location,facility;location;name,,,string,,,,False,true
facilityLocationNpi,facility,National Provider Identifier for facility location. This is a unique type 2 NPI where each address can have more than 1 NPI. The multiple NPI can be added via multiple rows.,facility;location;npi,,,string,,^\d{10}$,,False,true
facilityLocationPhone,facility,Phone number of facility location,facility;location;phone,,facilityLocationFax,string,,,,False,true
facilityLocationPrimaryService,facility,Primary service for the facility location,facility;location;primary;service,,,string,,,,False,true
facilityLocationProviderFax,facility,Provider fax number of facility location,facility;location;provider;fax,,facilityLocationProviderPhone,string,,,,False,true
