canonical_concept,header_variant,target_field,variant_type,confidence_hint,source,active,notes
accepting_\1aximum_\1atient_\1ge,Accepts Maximum Patient Age,acceptingMaximumPatientAge,title_case,0.85,phase2_v3_scan,true,
accepting_\1aximum_\1atient_\1ge,Accepts_Maximum_Patient_Age,acceptingMaximumPatientAge,underscore,0.85,phase2_v3_scan,true,
accepting_maximum_patient_age,Any Restrictions on Max Age,acceptingMaximumPatientAge,title_case,0.95,learning_kb_correction,true,
accepting_maximum_patient_age,Max Age,acceptingMaximumPatientAge,title_case,0.8,phase2_file_scan,true,
accepting_maximum_patient_age,MaxAge,acceptingMaximumPatientAge,title_case,0.8,phase2_file_scan,true,
accepting_maximum_patient_age,Primary Location,acceptingMaximumPatientAge,title_case,0.8,mapping_export,true,
accepting_minimum_patient_age,AGE LIMITS,acceptingMinimumPatientAge,upper_exact,0.95,learning_kb_correction,true,
accepting_\1inimum_\1atient_\1ge,Accepts Minimum Patient Age,acceptingMinimumPatientAge,title_case,0.85,phase2_v3_scan,true,
accepting_\1inimum_\1atient_\1ge,Accepts_Minimum_Patient_Age,acceptingMinimumPatientAge,underscore,0.85,phase2_v3_scan,true,
accepting_minimum_patient_age,Any Restrictions on Min Age,acceptingMinimumPatientAge,title_case,0.95,learning_kb_correction,true,
accepting_minimum_patient_age,Min Age,acceptingMinimumPatientAge,title_case,0.8,phase2_file_scan,true,
accepting_minimum_patient_age,MinAge,acceptingMinimumPatientAge,title_case,0.8,phase2_file_scan,true,
accepting_\1inimum_\1atient_\1ge,Patient Age Ranges Accepted,acceptingMinimumPatientAge,title_case,0.80,v4_fix,true,
accepts_new_patients,"ACCEPTING
NEW
PATIENTS",acceptsNewPatients,upper_exact,0.70,phase2_file_scan,true,
accepts_new_patients,AcceptNewPatient,acceptsNewPatients,title_case,0.8,phase2_file_scan,true,
accepts_new_patients,"Accepting New Patient
Y/N",acceptsNewPatients,title_case,0.8,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients  (MA - PCP'S ONLY)  Y/N,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients  (MC - PCP'S ONLY)  Y/N,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients (ALL Practitioner Types - Ongoing Outpatient Basis),acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients (PCP'S ONLY) Y/N,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting New Patients(PPO - PCP'S ONLY)  Y/N,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,Accepting Patients,acceptsNewPatients,title_case,0.95,learning_kb_correction,true,
accepts_\1ew_\1atients,Accepting existing patients only?,acceptsNewPatients,title_case,0.80,v4_fix,true,
accepts_new_patients,Accepting new patients?,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,AcceptingNewPatients,acceptsNewPatients,title_case,0.70,phase2_file_scan,true,
accepts_new_patients,NEW PTS,acceptsNewPatients,upper_exact,0.95,learning_kb_correction,true,
accepts_new_patients,PCP ACCEPTING PATIENTS (YES or NO),acceptsNewPatients,title_case,0.95,learning_kb_correction,true,
action_type,Type 2 NPI,actionType,title_case,0.8,mapping_export,true,
bed_count,Bed Count,bedCount,title_case,0.8,phase2_file_scan,true,
bed_count,"Bed Count
(If Acute Inpatient Hospital, ICU, SNF or Inpatient Psych Facility - REQUIRED)",bedCount,title_case,0.8,phase2_file_scan,true,
bed_count,bedCount,bedCount,exact,0.8,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 1,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 2,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 3,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 4,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 5,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,BILLING DIVISION 6,billingGroupName,upper_exact,0.70,phase2_file_scan,true,
billing_group_name,Billing Fax,billingGroupName,title_case,0.8,mapping_export,true,
billing_group_name,Billing Phone,billingGroupName,title_case,0.8,mapping_export,true,
billing_group_name,Billing Street Address,billingGroupName,title_case,0.8,mapping_export,true,
billing_group_name,Billing Zip Code,billingGroupName,title_case,0.8,mapping_export,true,
billing_group_name,Mailing Address 2,billingGroupName,title_case,0.8,mapping_export,true,
billing_group_name,MailingStreet Address,billingGroupName,title_case,0.8,mapping_export,true,
clia_\1ertificate_\1xpiration_\1ate,CLIA Expiration Date,cliaCertificateExpirationDate,title_case,0.80,v4_fix,true,
clia_certificate_expiration_date,DEA Expiration,cliaCertificateExpirationDate,title_case,0.8,mapping_export,true,
clia_certificate_expiration_date,EFF DATE,cliaCertificateExpirationDate,upper_exact,0.8,mapping_export,true,
clia_certificate_expiration_date,Graduation date MM/DD,cliaCertificateExpirationDate,title_case,0.8,mapping_export,true,
clia_certificate_expiration_date,Last Cred Date,cliaCertificateExpirationDate,title_case,0.8,mapping_export,true,
clia_certificate_expiration_date,Next Cred Date,cliaCertificateExpirationDate,title_case,0.8,mapping_export,true,
clia_certificate_expiration_date,Recred Date,cliaCertificateExpirationDate,title_case,0.8,mapping_export,true,
clia_\1ertificate_\1xpiration_\1ate,clia_expiration_date,cliaCertificateExpirationDate,underscore,0.75,v4_fix,true,
clia_certificate_number,CLIA,cliaCertificateNumber,upper_exact,0.8,phase2_file_scan,true,
clia_certificate_number,CLIA  Notes,cliaCertificateNumber,title_case,0.8,phase2_file_scan,true,
clia_certificate_number,CLIA Certificate,cliaCertificateNumber,title_case,0.8,phase2_file_scan,true,
clia_certificate_number,"CLIA can validate laboratory, but some states require license as well",cliaCertificateNumber,title_case,0.8,phase2_file_scan,true,
clia_certificate_number,CLIA#,cliaCertificateNumber,upper_exact,0.8,phase2_file_scan,true,
clia_certificate_number,CLIA_Certificate,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,Certificates: CLIA Present/Active,cliaCertificateNumber,title_case,0.8,phase2_file_scan,true,
clia_certificate_number,clia_facility,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_facility2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_facility3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_issue_date,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_issue_date2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_issue_date3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_number,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_number2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_number3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_state,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_state2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_state3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_status,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_status2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_status3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_type,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_type2,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
clia_certificate_number,clia_type3,cliaCertificateNumber,underscore,0.8,phase2_file_scan,true,
contract_effective_date,Contract Effective Date,contractEffectiveDate,title_case,0.8,phase2_file_scan,true,
contract_effective_date,Days Hours are Effective,contractEffectiveDate,title_case,0.8,mapping_export,true,
contract_effective_date,GROUP CONTRACT EFFECTIVE DATE,contractEffectiveDate,upper_exact,0.8,phase2_file_scan,true,
contract_effective_date,Liability Effective Date,contractEffectiveDate,title_case,0.8,mapping_export,true,
contract_name,Contract Name,contractName,title_case,0.8,phase2_file_scan,true,
contract_name,Contract_Name,contractName,underscore,0.8,phase2_file_scan,true,
contract_status,Contract Status,contractStatus,title_case,0.8,phase2_file_scan,true,
contract_status,Contract Status with Vendor,contractStatus,title_case,0.8,phase2_file_scan,true,
credentialing_affiliation,Hospital Affiliation 1,credentialingAffiliation,title_case,0.8,mapping_export,true,
